#x	y	z	vx	vy	vz	m
-7.97008	-7.18697	-0.440446	4.02152	-3.87553	-1.47119	6.66006e+06
-4304.63	-2496.54	-639.835	1.42735	7.46382	2.92617	6.66006e+06
1.17255e+11	-2.42625e+11	2.41255e+10	0.000231633	-0.000551797	0.000292233	6.66006e+06
1.55511	4.18374	3.26672	24.0871	-58.3902	-69.357	6.66006e+06
39.3948	-17.6286	-46.099	6.84035	-31.5206	-5.9179	6.66006e+06
-244.266	-234.793	-25.8056	10.8816	-17.255	6.94617	6.66006e+06
-28501.1	-63476	21428.5	0.770568	-1.11364	0.591025	6.66006e+06
-24.6369	-57.231	59.7607	-20.3866	0.78653	44.8162	6.66006e+06
-914.034	-632.842	-501.891	0.58624	1.03967	-2.02929	6.66006e+06
25.8205	-37.0398	64.9045	-7.42057	1.8553	-1.86612	6.66006e+06
1.18119	7.47783	0.675705	65.2713	49.5875	15.3707	6.66006e+06
-14.7667	-19.0866	0.295345	49.8171	-33.4345	-9.70141	6.66006e+06
-38.8516	23.1144	43.5797	-23.07	25.8317	-49.2013	6.66006e+06
188.631	-8.39064	629.505	11.0546	7.89372	-14.6122	6.66006e+06
-35.3693	50.6813	-55.9726	-33.2621	4.78414	-6.08455	6.66006e+06
246.526	-254.304	17.0221	-4.2817	1.12532	6.24336	6.66006e+06
-13.3697	-9.84454	6.57161	-84.9705	-7.35073	-1.5938	6.66006e+06
-2.00194e+06	-2.79448e+06	-5.41373e+06	-0.0759242	0.0677809	-0.139772	6.66006e+06
1.33225e+07	-4.59264e+06	-1.08589e+07	-0.0363662	-0.00299434	0.0846164	6.66006e+06
19.2352	-25.8793	44.2125	1.81586	-1.9158	-8.2792	6.66006e+06
2.4996	-5.31217	-0.331857	27.5718	-44.043	-22.462	6.66006e+06
-464.516	214.83	190.836	-0.646608	-1.67787	3.57946	6.66006e+06
1.05447e+07	1.21769e+07	8.25294e+06	0.0717184	-0.00493542	0.0400521	6.66006e+06
-18.5359	7.65582	29.2691	19.1407	-38.7778	-55.148	6.66006e+06
-2116.57	2185.64	12.2383	2.97386	4.94362	6.32313	6.66006e+06
35.3918	49.315	106.257	-23.5882	-7.38946	41.988	6.66006e+06
-2.1365e+06	8.14404e+06	-5.83903e+06	-0.121712	0.0453871	-0.064516	6.66006e+06
-10.5627	-2.89828	-25.9215	40.6263	9.21936	13.807	6.66006e+06
22.4224	6.41012	0.484898	4.54834	-25.3458	17.5714	6.66006e+06
-982.706	362.871	-1668.4	-6.46269	8.77332	5.6227	6.66006e+06
401.23	1405.33	-3939.74	4.46026	3.26181	6.81438	6.66006e+06
-82.4183	-56.9359	-11.2944	13.0375	-4.9723	15.918	6.66006e+06
9753.27	9380.3	-425.484	1.66343	1.0925	-2.38168	6.66006e+06
1327.83	24114.5	15344	-0.429144	1.4104	-1.85853	6.66006e+06
